Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Addis Ababa Central,PM2.5 - Principal,2018-01-04 10:00 AM,2018,01,04,10,-999.0,-999,N/A,51.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2018-01-04 11:00 AM,2018,01,04,11,46.6,128,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2018-01-04 12:00 PM,2018,01,04,12,37.7,106,Unhealthy for Sensitive Groups,30.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2018-01-04 01:00 PM,2018,01,04,13,30.4,89,Moderate,25.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2018-01-04 02:00 PM,2018,01,04,14,30.2,89,Moderate,30.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2018-01-04 03:00 PM,2018,01,04,15,30.1,89,Moderate,30.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2018-01-04 04:00 PM,2018,01,04,16,34.5,98,Moderate,39.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2018-01-04 05:00 PM,2018,01,04,17,37.3,105,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2018-01-04 06:00 PM,2018,01,04,18,38.1,107,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2018-01-04 07:00 PM,2018,01,04,19,30.0,89,Moderate,22.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2018-01-04 08:00 PM,2018,01,04,20,29.5,88,Moderate,29.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2018-01-04 09:00 PM,2018,01,04,21,49.7,136,Unhealthy for Sensitive Groups,70.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2018-01-04 10:00 PM,2018,01,04,22,54.8,149,Unhealthy for Sensitive Groups,60.0,UG/M3,1 Hr,Valid
