Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Addis Ababa Central,PM2.5 - Principal,2017-01-01 01:00 AM,2017,01,01,01,10.3,43,Good,3.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-01 02:00 AM,2017,01,01,02,7.1,30,Good,4.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-01 03:00 AM,2017,01,01,03,5.5,23,Good,4.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-01 04:00 AM,2017,01,01,04,5.2,22,Good,5.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-01 05:00 AM,2017,01,01,05,6.1,25,Good,7.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-01 06:00 AM,2017,01,01,06,7.5,31,Good,9.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-01 07:00 AM,2017,01,01,07,21.2,70,Moderate,35.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-01 08:00 AM,2017,01,01,08,38.1,107,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-01 09:00 AM,2017,01,01,09,30.5,90,Moderate,23.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-01 10:00 AM,2017,01,01,10,22.2,72,Moderate,14.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-01 11:00 AM,2017,01,01,11,18.1,64,Moderate,14.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-01 12:00 PM,2017,01,01,12,13.0,53,Moderate,8.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-01 01:00 PM,2017,01,01,13,10.0,42,Good,7.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-01 02:00 PM,2017,01,01,14,7.5,31,Good,5.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-01 03:00 PM,2017,01,01,15,6.2,26,Good,5.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-01 04:00 PM,2017,01,01,16,6.1,25,Good,6.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-01 05:00 PM,2017,01,01,17,7.5,31,Good,9.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-01 06:00 PM,2017,01,01,18,7.7,32,Good,8.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-01 07:00 PM,2017,01,01,19,11.8,49,Good,16.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-01 08:00 PM,2017,01,01,20,15.4,58,Moderate,19.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-01 09:00 PM,2017,01,01,21,27.2,83,Moderate,39.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-01 10:00 PM,2017,01,01,22,30.6,90,Moderate,34.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-01 11:00 PM,2017,01,01,23,20.3,68,Moderate,10.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-02 12:00 AM,2017,01,02,00,16.1,59,Moderate,12.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-02 01:00 AM,2017,01,02,01,17.0,61,Moderate,18.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-02 02:00 AM,2017,01,02,02,12.0,50,Good,7.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-02 03:00 AM,2017,01,02,03,8.5,35,Good,5.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-02 04:00 AM,2017,01,02,04,5.7,24,Good,3.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-02 05:00 AM,2017,01,02,05,4.8,20,Good,4.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-02 06:00 AM,2017,01,02,06,6.4,27,Good,8.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-02 07:00 AM,2017,01,02,07,6.7,28,Good,7.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-02 08:00 AM,2017,01,02,08,7.8,33,Good,9.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-02 09:00 AM,2017,01,02,09,12.9,53,Moderate,18.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-02 10:00 AM,2017,01,02,10,30.4,89,Moderate,48.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-02 11:00 AM,2017,01,02,11,27.2,83,Moderate,24.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-02 12:00 PM,2017,01,02,12,19.1,66,Moderate,11.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-02 01:00 PM,2017,01,02,13,14.0,55,Moderate,9.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-02 02:00 PM,2017,01,02,14,10.0,42,Good,6.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-02 03:00 PM,2017,01,02,15,7.5,31,Good,5.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-02 04:00 PM,2017,01,02,16,6.2,26,Good,5.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-02 05:00 PM,2017,01,02,17,8.1,34,Good,10.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-02 06:00 PM,2017,01,02,18,8.5,35,Good,9.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-02 07:00 PM,2017,01,02,19,9.7,40,Good,11.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-02 08:00 PM,2017,01,02,20,10.8,45,Good,12.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-02 09:00 PM,2017,01,02,21,11.4,48,Good,12.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-02 10:00 PM,2017,01,02,22,10.2,43,Good,9.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-02 11:00 PM,2017,01,02,23,8.1,34,Good,6.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-03 12:00 AM,2017,01,03,00,11.0,46,Good,14.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-03 01:00 AM,2017,01,03,01,13.5,54,Moderate,16.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-03 02:00 AM,2017,01,03,02,9.7,40,Good,6.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-03 03:00 AM,2017,01,03,03,9.8,41,Good,10.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-03 04:00 AM,2017,01,03,04,8.9,37,Good,8.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-03 05:00 AM,2017,01,03,05,9.4,39,Good,10.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-03 06:00 AM,2017,01,03,06,8.7,36,Good,8.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-03 07:00 AM,2017,01,03,07,14.3,56,Moderate,20.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-03 08:00 AM,2017,01,03,08,32.6,94,Moderate,51.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-03 09:00 AM,2017,01,03,09,51.3,140,Unhealthy for Sensitive Groups,70.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-03 10:00 AM,2017,01,03,10,47.6,131,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-03 11:00 AM,2017,01,03,11,29.8,88,Moderate,12.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-03 12:00 PM,2017,01,03,12,20.4,68,Moderate,11.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-03 01:00 PM,2017,01,03,13,17.7,63,Moderate,15.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-03 02:00 PM,2017,01,03,14,13.3,54,Moderate,9.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-03 03:00 PM,2017,01,03,15,10.1,42,Good,7.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2017-01-03 04:00 PM,2017,01,03,16,8.5,35,Good,7.0,UG/M3,1 Hr,Valid
