Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Addis Ababa Central,PM2.5 - Principal,2020-01-02 12:00 PM,2020,01,02,12,-999.0,-999,N/A,9.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2020-01-02 01:00 PM,2020,01,02,13,7.2,30,Good,6.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2020-01-02 02:00 PM,2020,01,02,14,5.9,25,Good,5.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2020-01-02 03:00 PM,2020,01,02,15,6.4,27,Good,7.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2020-01-02 04:00 PM,2020,01,02,16,6.2,26,Good,6.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2020-01-02 05:00 PM,2020,01,02,17,6.1,25,Good,6.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2020-01-02 06:00 PM,2020,01,02,18,7.4,31,Good,9.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2020-01-02 07:00 PM,2020,01,02,19,8.7,36,Good,10.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2020-01-02 08:00 PM,2020,01,02,20,10.3,43,Good,12.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2020-01-02 09:00 PM,2020,01,02,21,10.6,44,Good,11.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2020-01-02 10:00 PM,2020,01,02,22,9.8,41,Good,9.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2020-01-02 11:00 PM,2020,01,02,23,13.4,54,Moderate,17.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2020-01-03 12:00 AM,2020,01,03,00,23.7,75,Moderate,34.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2020-01-03 01:00 AM,2020,01,03,01,22.8,74,Moderate,22.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2020-01-03 02:00 AM,2020,01,03,02,19.9,67,Moderate,17.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2020-01-03 03:00 AM,2020,01,03,03,16.9,61,Moderate,14.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2020-01-03 04:00 AM,2020,01,03,04,16.4,60,Moderate,16.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2020-01-03 05:00 AM,2020,01,03,05,18.2,64,Moderate,20.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2020-01-03 06:00 AM,2020,01,03,06,20.6,69,Moderate,23.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2020-01-03 07:00 AM,2020,01,03,07,19.3,66,Moderate,18.0,UG/M3,1 Hr,Valid
